Label,Info,variable,strain,name,media,condition,techrep,biorep
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",noGlu_trmB_7,AKS154,trmB,HvCA_ura,noGlu,1,3
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",noGlu_trmB_8,AKS154,trmB,HvCA_ura,noGlu,2,3
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",noGlu_trmB_9,AKS154,trmB,HvCA_ura,noGlu,3,3
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",noGlu_trmBtbsP_1,AKS181,trmBtbsP,HvCA_ura,noGlu,1,1
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",noGlu_trmBtbsP_2,AKS181,trmBtbsP,HvCA_ura,noGlu,2,1
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",noGlu_trmBtbsP_3,AKS181,trmBtbsP,HvCA_ura,noGlu,3,1
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",noGlu_trmBtbsP_4,AKS181,trmBtbsP,HvCA_ura,noGlu,1,2
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",noGlu_trmBtbsP_5,AKS181,trmBtbsP,HvCA_ura,noGlu,2,2
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",noGlu_trmBtbsP_6,AKS181,trmBtbsP,HvCA_ura,noGlu,3,2
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",noGlu_trmBtbsP_7,AKS181,trmBtbsP,HvCA_ura,noGlu,1,3
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",noGlu_trmBtbsP_8,AKS181,trmBtbsP,HvCA_ura,noGlu,2,3
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",noGlu_trmBtbsP_9,AKS181,trmBtbsP,HvCA_ura,noGlu,3,3
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",Glu001_pyrE_1,H26,pyrE,HvCA_ura,glu01,1,1
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",Glu001_pyrE_2,H26,pyrE,HvCA_ura,glu01,2,1
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",Glu001_pyrE_3,H26,pyrE,HvCA_ura,glu01,3,1
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",Glu001_pyrE_4,H26,pyrE,HvCA_ura,glu01,1,2
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",Glu001_pyrE_5,H26,pyrE,HvCA_ura,glu01,2,2
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",Glu001_pyrE_6,H26,pyrE,HvCA_ura,glu01,3,2
